column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22
2056,1577-1234,2056번 테스트 문자입니다.,"2056번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347733,ABCDEFG,김유신,2023.05.31,9,LMS,2056,1577-1234,2056번 담당자님 전달 문자입니다.,"2056번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347733,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:327,admin
2057,1577-1234,2057번 테스트 문자입니다.,"2057번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347734,ABCDEFG,김유신,2023.05.31,9,LMS,2057,1577-1234,2057번 담당자님 전달 문자입니다.,"2057번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347734,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:327,admin
2058,1577-1234,2058번 테스트 문자입니다.,"2058번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347735,ABCDEFG,김유신,2023.05.31,9,LMS,2058,1577-1234,2058번 담당자님 전달 문자입니다.,"2058번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347735,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:327,admin
2059,1577-1234,2059번 테스트 문자입니다.,"2059번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347736,ABCDEFG,김유신,2023.05.31,9,LMS,2059,1577-1234,2059번 담당자님 전달 문자입니다.,"2059번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347736,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:327,admin
2060,1577-1234,2060번 테스트 문자입니다.,"2060번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347737,ABCDEFG,김유신,2023.05.31,9,LMS,2060,1577-1234,2060번 담당자님 전달 문자입니다.,"2060번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347737,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:327,admin
2061,1577-1234,2061번 테스트 문자입니다.,"2061번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347738,ABCDEFG,김유신,2023.05.31,9,LMS,2061,1577-1234,2061번 담당자님 전달 문자입니다.,"2061번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347738,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2062,1577-1234,2062번 테스트 문자입니다.,"2062번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347739,ABCDEFG,김유신,2023.05.31,9,LMS,2062,1577-1234,2062번 담당자님 전달 문자입니다.,"2062번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347739,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2063,1577-1234,2063번 테스트 문자입니다.,"2063번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347740,ABCDEFG,김유신,2023.05.31,9,LMS,2063,1577-1234,2063번 담당자님 전달 문자입니다.,"2063번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347740,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2064,1577-1234,2064번 테스트 문자입니다.,"2064번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347741,ABCDEFG,김유신,2023.05.31,9,LMS,2064,1577-1234,2064번 담당자님 전달 문자입니다.,"2064번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347741,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2065,1577-1234,2065번 테스트 문자입니다.,"2065번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347742,ABCDEFG,김유신,2023.05.31,9,LMS,2065,1577-1234,2065번 담당자님 전달 문자입니다.,"2065번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347742,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2066,1577-1234,2066번 테스트 문자입니다.,"2066번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347743,ABCDEFG,김유신,2023.05.31,9,LMS,2066,1577-1234,2066번 담당자님 전달 문자입니다.,"2066번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347743,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2067,1577-1234,2067번 테스트 문자입니다.,"2067번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347744,ABCDEFG,김유신,2023.05.31,9,LMS,2067,1577-1234,2067번 담당자님 전달 문자입니다.,"2067번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347744,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2068,1577-1234,2068번 테스트 문자입니다.,"2068번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347745,ABCDEFG,김유신,2023.05.31,9,LMS,2068,1577-1234,2068번 담당자님 전달 문자입니다.,"2068번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347745,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2069,1577-1234,2069번 테스트 문자입니다.,"2069번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347746,ABCDEFG,김유신,2023.05.31,9,LMS,2069,1577-1234,2069번 담당자님 전달 문자입니다.,"2069번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347746,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2070,1577-1234,2070번 테스트 문자입니다.,"2070번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347747,ABCDEFG,김유신,2023.05.31,9,LMS,2070,1577-1234,2070번 담당자님 전달 문자입니다.,"2070번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347747,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2071,1577-1234,2071번 테스트 문자입니다.,"2071번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347748,ABCDEFG,김유신,2023.05.31,9,LMS,2071,1577-1234,2071번 담당자님 전달 문자입니다.,"2071번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347748,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2072,1577-1234,2072번 테스트 문자입니다.,"2072번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347749,ABCDEFG,김유신,2023.05.31,9,LMS,2072,1577-1234,2072번 담당자님 전달 문자입니다.,"2072번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347749,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2073,1577-1234,2073번 테스트 문자입니다.,"2073번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347750,ABCDEFG,김유신,2023.05.31,9,LMS,2073,1577-1234,2073번 담당자님 전달 문자입니다.,"2073번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347750,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2074,1577-1234,2074번 테스트 문자입니다.,"2074번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347751,ABCDEFG,김유신,2023.05.31,9,LMS,2074,1577-1234,2074번 담당자님 전달 문자입니다.,"2074번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347751,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2075,1577-1234,2075번 테스트 문자입니다.,"2075번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347752,ABCDEFG,김유신,2023.05.31,9,LMS,2075,1577-1234,2075번 담당자님 전달 문자입니다.,"2075번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347752,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2076,1577-1234,2076번 테스트 문자입니다.,"2076번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347753,ABCDEFG,김유신,2023.05.31,9,LMS,2076,1577-1234,2076번 담당자님 전달 문자입니다.,"2076번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347753,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2077,1577-1234,2077번 테스트 문자입니다.,"2077번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347754,ABCDEFG,김유신,2023.05.31,9,LMS,2077,1577-1234,2077번 담당자님 전달 문자입니다.,"2077번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347754,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2078,1577-1234,2078번 테스트 문자입니다.,"2078번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347755,ABCDEFG,김유신,2023.05.31,9,LMS,2078,1577-1234,2078번 담당자님 전달 문자입니다.,"2078번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347755,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2079,1577-1234,2079번 테스트 문자입니다.,"2079번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347756,ABCDEFG,김유신,2023.05.31,9,LMS,2079,1577-1234,2079번 담당자님 전달 문자입니다.,"2079번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347756,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2080,1577-1234,2080번 테스트 문자입니다.,"2080번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347757,ABCDEFG,김유신,2023.05.31,9,LMS,2080,1577-1234,2080번 담당자님 전달 문자입니다.,"2080번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347757,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2081,1577-1234,2081번 테스트 문자입니다.,"2081번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347758,ABCDEFG,김유신,2023.05.31,9,LMS,2081,1577-1234,2081번 담당자님 전달 문자입니다.,"2081번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347758,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2082,1577-1234,2082번 테스트 문자입니다.,"2082번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347759,ABCDEFG,김유신,2023.05.31,9,LMS,2082,1577-1234,2082번 담당자님 전달 문자입니다.,"2082번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347759,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2083,1577-1234,2083번 테스트 문자입니다.,"2083번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347760,ABCDEFG,김유신,2023.05.31,9,LMS,2083,1577-1234,2083번 담당자님 전달 문자입니다.,"2083번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347760,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2084,1577-1234,2084번 테스트 문자입니다.,"2084번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347761,ABCDEFG,김유신,2023.05.31,9,LMS,2084,1577-1234,2084번 담당자님 전달 문자입니다.,"2084번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347761,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2085,1577-1234,2085번 테스트 문자입니다.,"2085번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347762,ABCDEFG,김유신,2023.05.31,9,LMS,2085,1577-1234,2085번 담당자님 전달 문자입니다.,"2085번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347762,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2086,1577-1234,2086번 테스트 문자입니다.,"2086번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347763,ABCDEFG,김유신,2023.05.31,9,LMS,2086,1577-1234,2086번 담당자님 전달 문자입니다.,"2086번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347763,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2087,1577-1234,2087번 테스트 문자입니다.,"2087번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347764,ABCDEFG,김유신,2023.05.31,9,LMS,2087,1577-1234,2087번 담당자님 전달 문자입니다.,"2087번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347764,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2088,1577-1234,2088번 테스트 문자입니다.,"2088번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347765,ABCDEFG,김유신,2023.05.31,9,LMS,2088,1577-1234,2088번 담당자님 전달 문자입니다.,"2088번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347765,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2089,1577-1234,2089번 테스트 문자입니다.,"2089번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347766,ABCDEFG,김유신,2023.05.31,9,LMS,2089,1577-1234,2089번 담당자님 전달 문자입니다.,"2089번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347766,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2090,1577-1234,2090번 테스트 문자입니다.,"2090번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347767,ABCDEFG,김유신,2023.05.31,9,LMS,2090,1577-1234,2090번 담당자님 전달 문자입니다.,"2090번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347767,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2091,1577-1234,2091번 테스트 문자입니다.,"2091번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347768,ABCDEFG,김유신,2023.05.31,9,LMS,2091,1577-1234,2091번 담당자님 전달 문자입니다.,"2091번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347768,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2092,1577-1234,2092번 테스트 문자입니다.,"2092번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347769,ABCDEFG,김유신,2023.05.31,9,LMS,2092,1577-1234,2092번 담당자님 전달 문자입니다.,"2092번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347769,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2093,1577-1234,2093번 테스트 문자입니다.,"2093번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347770,ABCDEFG,김유신,2023.05.31,9,LMS,2093,1577-1234,2093번 담당자님 전달 문자입니다.,"2093번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347770,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2094,1577-1234,2094번 테스트 문자입니다.,"2094번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347771,ABCDEFG,김유신,2023.05.31,9,LMS,2094,1577-1234,2094번 담당자님 전달 문자입니다.,"2094번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347771,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2095,1577-1234,2095번 테스트 문자입니다.,"2095번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347772,ABCDEFG,김유신,2023.05.31,9,LMS,2095,1577-1234,2095번 담당자님 전달 문자입니다.,"2095번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347772,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2096,1577-1234,2096번 테스트 문자입니다.,"2096번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347773,ABCDEFG,김유신,2023.05.31,9,LMS,2096,1577-1234,2096번 담당자님 전달 문자입니다.,"2096번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347773,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2097,1577-1234,2097번 테스트 문자입니다.,"2097번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347774,ABCDEFG,김유신,2023.05.31,9,LMS,2097,1577-1234,2097번 담당자님 전달 문자입니다.,"2097번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347774,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2098,1577-1234,2098번 테스트 문자입니다.,"2098번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347775,ABCDEFG,김유신,2023.05.31,9,LMS,2098,1577-1234,2098번 담당자님 전달 문자입니다.,"2098번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347775,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2099,1577-1234,2099번 테스트 문자입니다.,"2099번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347776,ABCDEFG,김유신,2023.05.31,9,LMS,2099,1577-1234,2099번 담당자님 전달 문자입니다.,"2099번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347776,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2100,1577-1234,2100번 테스트 문자입니다.,"2100번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347777,ABCDEFG,김유신,2023.05.31,9,LMS,2100,1577-1234,2100번 담당자님 전달 문자입니다.,"2100번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347777,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2101,1577-1234,2101번 테스트 문자입니다.,"2101번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347778,ABCDEFG,김유신,2023.05.31,9,LMS,2101,1577-1234,2101번 담당자님 전달 문자입니다.,"2101번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347778,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2102,1577-1234,2102번 테스트 문자입니다.,"2102번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347779,ABCDEFG,김유신,2023.05.31,9,LMS,2102,1577-1234,2102번 담당자님 전달 문자입니다.,"2102번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347779,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2103,1577-1234,2103번 테스트 문자입니다.,"2103번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347780,ABCDEFG,김유신,2023.05.31,9,LMS,2103,1577-1234,2103번 담당자님 전달 문자입니다.,"2103번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347780,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2104,1577-1234,2104번 테스트 문자입니다.,"2104번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347781,ABCDEFG,김유신,2023.05.31,9,LMS,2104,1577-1234,2104번 담당자님 전달 문자입니다.,"2104번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347781,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2105,1577-1234,2105번 테스트 문자입니다.,"2105번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347782,ABCDEFG,김유신,2023.05.31,9,LMS,2105,1577-1234,2105번 담당자님 전달 문자입니다.,"2105번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347782,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2106,1577-1234,2106번 테스트 문자입니다.,"2106번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347783,ABCDEFG,김유신,2023.05.31,9,LMS,2106,1577-1234,2106번 담당자님 전달 문자입니다.,"2106번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347783,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2107,1577-1234,2107번 테스트 문자입니다.,"2107번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347784,ABCDEFG,김유신,2023.05.31,9,LMS,2107,1577-1234,2107번 담당자님 전달 문자입니다.,"2107번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347784,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2108,1577-1234,2108번 테스트 문자입니다.,"2108번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347785,ABCDEFG,김유신,2023.05.31,9,LMS,2108,1577-1234,2108번 담당자님 전달 문자입니다.,"2108번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347785,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2109,1577-1234,2109번 테스트 문자입니다.,"2109번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347786,ABCDEFG,김유신,2023.05.31,9,LMS,2109,1577-1234,2109번 담당자님 전달 문자입니다.,"2109번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347786,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2110,1577-1234,2110번 테스트 문자입니다.,"2110번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347787,ABCDEFG,김유신,2023.05.31,9,LMS,2110,1577-1234,2110번 담당자님 전달 문자입니다.,"2110번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347787,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2111,1577-1234,2111번 테스트 문자입니다.,"2111번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347788,ABCDEFG,김유신,2023.05.31,9,LMS,2111,1577-1234,2111번 담당자님 전달 문자입니다.,"2111번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347788,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2112,1577-1234,2112번 테스트 문자입니다.,"2112번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347789,ABCDEFG,김유신,2023.05.31,9,LMS,2112,1577-1234,2112번 담당자님 전달 문자입니다.,"2112번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347789,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2113,1577-1234,2113번 테스트 문자입니다.,"2113번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347790,ABCDEFG,김유신,2023.05.31,9,LMS,2113,1577-1234,2113번 담당자님 전달 문자입니다.,"2113번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347790,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2114,1577-1234,2114번 테스트 문자입니다.,"2114번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347791,ABCDEFG,김유신,2023.05.31,9,LMS,2114,1577-1234,2114번 담당자님 전달 문자입니다.,"2114번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347791,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
2115,1577-1234,2115번 테스트 문자입니다.,"2115번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347792,ABCDEFG,김유신,2023.05.31,9,LMS,2115,1577-1234,2115번 담당자님 전달 문자입니다.,"2115번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12347792,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:328,admin
